2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_522 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1593 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_336 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_448 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-28-big-img_19281 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_342 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-12-big-img_78 : pred total 8, gt total 8, recall 8, miss 0, FP 0
2003-01-14-big-img_525 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-28-big-img_147 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_353 : pred total 4, gt total 4, recall 3, miss 1, FP 1
2002-08-22-big-img_513 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_721 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-17-big-img_247 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_891 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_853 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_414 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1530 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_924 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_468 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_354 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-30-big-img_18193 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_492 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_871 : pred total 6, gt total 6, recall 6, miss 0, FP 0
2002-08-12-big-img_494 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2470 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_923 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_155 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_669 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_404 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-28-big-img_19421 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18993 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_416 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-17-big-img_434 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-29-big-img_1370 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_483 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-11-big-img_50 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-10-big-img_404 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15057 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_911 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16697 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-16-big-img_665 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-01-big-img_16708 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_612 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-28-big-img_19471 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-02-big-img_198 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-16-big-img_527 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_209 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18205 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_114 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_1028 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_894 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_837 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_9 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2821 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_85 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_884 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-22-big-img_570 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1773 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_208 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-17-big-img_946 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_930 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_698 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-17-big-img_612 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-19-big-img_372 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_721 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_649 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_4 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_1024 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_601 : pred total 5, gt total 3, recall 3, miss 0, FP 2
2002-08-30-big-img_18470 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_29 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1686 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_294 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-14-big-img_800 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_353 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-19-big-img_350 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-05-big-img_3392 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-09-big-img_622 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_236 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-11-big-img_643 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3458 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_413 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_415 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_635 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1198 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_873 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_407 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_346 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_275 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_997 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_958 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_579 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_142 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2003-01-14-big-img_1115 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_365 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1414 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_489 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_1010 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_276 : pred total 5, gt total 2, recall 2, miss 0, FP 3
2002-07-25-big-img_1000 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_524 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-28-big-img_19147 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_433 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-20-big-img_205 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_458 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1449 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_696 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-28-big-img_19296 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-29-big-img_18688 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_767 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_532 : pred total 7, gt total 8, recall 5, miss 3, FP 2
2002-08-26-big-img_187 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_183 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_890 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2003-01-13-big-img_576 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_15 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_889 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-31-big-img_17759 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_1114 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_445 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_593 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_750 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_133 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-25-big-img_671 : pred total 3, gt total 3, recall 2, miss 1, FP 1
2002-07-20-big-img_351 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17276 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3231 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-09-02-big-img_15882 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_115 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1148 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_936 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_639 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-04-big-img_427 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_843 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_17 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_690 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-13-big-img_472 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-09-big-img_425 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-05-big-img_3450 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_439 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_539 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-28-big-img_35 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_241 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2898 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_429 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-05-big-img_3817 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19919 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_422 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-15-big-img_560 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-07-23-big-img_750 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_353 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_43 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_305 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_2137 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-30-big-img_18097 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-01-big-img_1389 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-02-big-img_308 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_652 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1798 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_732 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_294 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-26-big-img_213 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-07-24-big-img_842 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_630 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_634 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-06-big-img_2285 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_2162 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18134 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1045 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-01-big-img_2143 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_135 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-20-big-img_645 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-05-big-img_3666 : pred total 18, gt total 15, recall 14, miss 1, FP 4
2002-08-14-big-img_523 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-04-big-img_425 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_137 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_176 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_505 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_386 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-05-big-img_3187 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-15-big-img_419 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_520 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-04-big-img_444 : pred total 2, gt total 2, recall 1, miss 1, FP 1
2002-08-26-big-img_483 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-05-big-img_3449 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18409 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19455 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-27-big-img_20090 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_625 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-24-big-img_205 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_938 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_527 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-07-big-img_1712 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_801 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_579 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_41 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-15-big-img_1130 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-21-big-img_672 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1590 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_532 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-02-big-img_529 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_5 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_882 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-28-big-img_19234 : pred total 7, gt total 8, recall 6, miss 2, FP 1
2002-07-24-big-img_398 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_592 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_548 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_761 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-16-big-img_497 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-18-big-img_133 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_874 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_247 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-15-big-img_170 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19679 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_246 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_358 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_599 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1555 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_491 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_371 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_682 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_619 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_587 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1212 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_2152 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_668 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_574 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-28-big-img_19464 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-11-big-img_536 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_201 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3488 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-25-big-img_887 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_789 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_432 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_166 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16333 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_1010 : pred total 12, gt total 13, recall 12, miss 1, FP 0
2002-07-21-big-img_793 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_720 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_337 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_185 : pred total 5, gt total 3, recall 3, miss 0, FP 2
2002-08-23-big-img_440 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_801 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_478 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_171 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-08-07-big-img_1054 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15659 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-07-29-big-img_1348 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-09-big-img_337 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_684 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-31-big-img_537 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_808 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_740 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1667 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_404 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-06-big-img_2520 : pred total 9, gt total 10, recall 9, miss 1, FP 0
2002-07-19-big-img_230 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_356 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_627 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_474 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-29-big-img_833 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-07-25-big-img_176 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1684 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-21-big-img_643 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-27-big-img_19673 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_838 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-08-06-big-img_2378 : pred total 3, gt total 3, recall 3, miss 0, FP 0
